                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0422,                 2.8243,                 3.1424,                  3e-05,                0.00077,                  1e-05,                      0,                 3.7719,                    inf,                 26.244,                 0.0705,              0.0032778,              0.0032778
                      2,                 2.2374,                 2.3552,                  2.471,                 0.0556,                0.25934,                0.03353,                0.01089,                 3.2118,                    inf,                 4.0217,                 0.0405,              0.0066107,              0.0066107
                      3,                 1.9184,                 2.1253,                 2.1978,                0.16724,                0.32055,                0.09915,                 0.0371,                 2.4114,                 3.8178,                 2.9361,               0.010498,               0.009942,               0.009942
                      4,                 1.7675,                 1.9874,                 2.0457,                0.41999,                0.53092,                0.41294,                0.15856,                 2.0264,                  2.938,                 2.5568,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.6454,                 1.8667,                 1.9333,                0.46894,                0.52275,                0.45145,                0.21034,                 1.6665,                 2.0544,                 2.0627,              0.0099945,              0.0099945,              0.0099945
                      6,                   1.58,                  1.771,                 1.8742,                0.54467,                 0.5691,                 0.5281,                 0.2702,                 1.5682,                 1.7944,                  2.026,              0.0099902,              0.0099902,              0.0099902
                      7,                 1.4997,                 1.6881,                 1.8162,                  0.534,                0.55687,                 0.5183,                0.29139,                 1.4777,                 1.8344,                  1.893,              0.0099847,              0.0099847,              0.0099847
                      8,                  1.446,                 1.6112,                 1.7626,                0.56871,                0.60219,                0.58636,                0.33973,                 1.4619,                 1.6217,                 1.8697,               0.009978,               0.009978,               0.009978
                      9,                  1.402,                 1.5756,                 1.7408,                0.39767,                0.60868,                0.47249,                0.27832,                 1.3721,                 1.8097,                 1.8205,              0.0099701,              0.0099701,              0.0099701
                     10,                 1.3334,                 1.5337,                 1.6932,                0.61213,                 0.6501,                0.65529,                 0.4119,                 1.2999,                 1.5493,                 1.7577,               0.009961,               0.009961,               0.009961
                     11,                 1.2949,                 1.4827,                 1.6623,                  0.619,                 0.6496,                0.67711,                0.43001,                 1.2218,                 1.4406,                 1.7057,              0.0099506,              0.0099506,              0.0099506
                     12,                 1.2573,                 1.4401,                 1.6319,                0.63874,                0.65271,                0.68477,                0.45161,                 1.1749,                 1.3533,                 1.6512,              0.0099391,              0.0099391,              0.0099391
                     13,                 1.2174,                 1.4038,                 1.5967,                0.58564,                0.65746,                0.65496,                0.44222,                 1.1272,                 1.4086,                 1.6154,              0.0099263,              0.0099263,              0.0099263
                     14,                 1.2053,                  1.388,                 1.5828,                0.55536,                0.61649,                0.58886,                0.36128,                 1.2557,                  1.533,                 1.7324,              0.0099123,              0.0099123,              0.0099123
                     15,                 1.1717,                 1.3418,                 1.5558,                0.59964,                0.65446,                0.64664,                0.44113,                 1.1114,                 1.3722,                 1.6051,              0.0098972,              0.0098972,              0.0098972
                     16,                 1.1231,                 1.3194,                 1.5276,                0.59472,                0.67859,                0.64323,                0.42238,                 1.1174,                 1.3433,                 1.6263,              0.0098808,              0.0098808,              0.0098808
                     17,                 1.0946,                 1.2821,                 1.5008,                0.66083,                0.69153,                0.72866,                0.51416,                 1.0541,                 1.2004,                 1.5438,              0.0098632,              0.0098632,              0.0098632
                     18,                 1.1038,                 1.2713,                  1.506,                0.67117,                 0.6723,                0.72609,                 0.5161,                0.99252,                   1.17,                 1.5124,              0.0098445,              0.0098445,              0.0098445
                     19,                 1.0699,                 1.2495,                 1.4799,                0.65724,                0.69187,                0.72295,                0.51217,                 1.0498,                 1.1732,                  1.533,              0.0098246,              0.0098246,              0.0098246
                     20,                 1.0663,                 1.2395,                 1.4832,                0.61284,                0.67059,                0.65551,                0.45997,                 1.0364,                 1.2927,                 1.5329,              0.0098035,              0.0098035,              0.0098035
                     21,                 1.0488,                 1.2375,                 1.4734,                0.59815,                0.69025,                0.69912,                0.50349,                0.97325,                 1.2219,                 1.4784,              0.0097812,              0.0097812,              0.0097812
                     22,                 1.0429,                 1.2283,                 1.4582,                0.64836,                 0.7067,                0.72717,                0.53688,                0.92833,                 1.1431,                 1.4494,              0.0097577,              0.0097577,              0.0097577
                     23,                 1.0098,                 1.2001,                 1.4357,                0.66556,                0.69366,                0.72215,                0.53047,                0.92295,                 1.1013,                 1.4447,              0.0097331,              0.0097331,              0.0097331
                     24,                 1.0172,                 1.1953,                 1.4395,                0.63633,                0.67938,                0.68394,                0.48636,                0.97293,                 1.2123,                 1.4869,              0.0097074,              0.0097074,              0.0097074
                     25,                 1.0026,                 1.1862,                  1.439,                0.63499,                0.68813,                0.70706,                0.52538,                0.90269,                 1.1713,                 1.4198,              0.0096804,              0.0096804,              0.0096804
                     26,                0.99605,                 1.1686,                 1.4217,                0.68507,                0.68218,                0.74015,                0.55213,                0.88539,                 1.0835,                 1.4157,              0.0096524,              0.0096524,              0.0096524
                     27,                0.97273,                 1.1433,                 1.4001,                0.65648,                0.70478,                0.73175,                0.55663,                0.86565,                 1.0465,                 1.3887,              0.0096232,              0.0096232,              0.0096232
                     28,                0.95456,                 1.1565,                 1.3895,                0.68904,                0.70996,                0.76167,                0.57469,                0.85727,                 1.0229,                 1.3943,              0.0095929,              0.0095929,              0.0095929
                     29,                0.94258,                  1.155,                 1.3871,                0.62853,                0.68143,                0.70877,                 0.5239,                0.88081,                 1.2007,                 1.4273,              0.0095614,              0.0095614,              0.0095614
                     30,                0.92291,                 1.1116,                 1.3714,                0.68002,                0.71986,                0.75925,                0.59602,                0.80381,                 1.0271,                 1.3464,              0.0095289,              0.0095289,              0.0095289
                     31,                0.92329,                 1.1224,                 1.3645,                0.67565,                0.70408,                0.74868,                0.58083,                0.82082,                 1.0297,                  1.355,              0.0094952,              0.0094952,              0.0094952
                     32,                0.94252,                 1.1191,                 1.3781,                0.66489,                0.70444,                0.73997,                0.57051,                0.83374,                  1.039,                 1.3691,              0.0094605,              0.0094605,              0.0094605
                     33,                0.93124,                 1.1281,                 1.3739,                0.68201,                0.71848,                0.76193,                0.58201,                0.85182,                 1.0001,                 1.3749,              0.0094246,              0.0094246,              0.0094246
                     34,                 0.9335,                 1.1242,                  1.366,                0.67115,                0.71589,                0.74977,                0.57283,                0.83879,                 1.0411,                 1.3822,              0.0093877,              0.0093877,              0.0093877
                     35,                0.90754,                 1.0774,                 1.3397,                0.68019,                0.68425,                0.73284,                0.55678,                0.85283,                 1.0735,                 1.3828,              0.0093497,              0.0093497,              0.0093497
                     36,                0.91003,                  1.086,                  1.346,                0.69101,                0.70493,                0.75743,                0.59346,                0.78428,                      1,                 1.3284,              0.0093107,              0.0093107,              0.0093107
                     37,                0.89118,                 1.0727,                 1.3298,                0.67254,                0.69545,                0.74528,                 0.5641,                 0.8531,                 1.0374,                 1.3905,              0.0092706,              0.0092706,              0.0092706
                     38,                0.88086,                 1.0755,                 1.3288,                0.70333,                 0.7157,                0.76963,                0.60829,                0.76602,                0.94937,                 1.3068,              0.0092294,              0.0092294,              0.0092294
                     39,                0.88617,                  1.072,                 1.3295,                0.69189,                0.71881,                0.77021,                0.60229,                0.80121,                 0.9303,                 1.3154,              0.0091872,              0.0091872,              0.0091872
                     40,                0.89461,                 1.0808,                 1.3366,                0.68956,                0.71815,                0.76715,                0.59077,                0.80962,                0.98145,                 1.3592,               0.009144,               0.009144,               0.009144
                     41,                0.89904,                 1.0804,                  1.347,                0.69312,                0.71716,                0.77034,                0.60347,                0.79392,                0.98636,                 1.3253,              0.0090998,              0.0090998,              0.0090998
                     42,                0.88918,                 1.0826,                 1.3307,                0.69412,                0.70284,                0.75097,                0.57831,                0.79293,                  1.043,                 1.3458,              0.0090546,              0.0090546,              0.0090546
                     43,                0.85875,                 1.0441,                 1.3067,                0.70646,                0.71633,                0.77726,                0.61736,                0.75605,                 0.9449,                 1.3068,              0.0090084,              0.0090084,              0.0090084
                     44,                0.85763,                  1.051,                 1.3173,                0.66697,                0.71994,                0.75508,                0.58688,                0.79728,                0.98942,                 1.3317,              0.0089613,              0.0089613,              0.0089613
                     45,                0.85405,                  1.048,                 1.2997,                0.68881,                0.72308,                0.77145,                0.61366,                0.77283,                0.94595,                 1.3062,              0.0089131,              0.0089131,              0.0089131
                     46,                0.85909,                 1.0496,                 1.3068,                0.67984,                0.71673,                0.76172,                0.60326,                 0.7486,                0.97369,                 1.2898,               0.008864,               0.008864,               0.008864
                     47,                0.84429,                 1.0323,                 1.2944,                0.70236,                0.71298,                0.77567,                0.61861,                0.74903,                0.94574,                 1.2936,               0.008814,               0.008814,               0.008814
                     48,                0.83632,                 1.0266,                 1.2886,                0.69404,                0.72379,                 0.7773,                0.62338,                0.71504,                0.93233,                 1.2708,               0.008763,               0.008763,               0.008763
                     49,                0.83442,                 1.0325,                 1.2882,                0.70459,                0.70954,                0.77267,                0.61992,                0.73124,                0.94364,                  1.287,              0.0087112,              0.0087112,              0.0087112
                     50,                0.83999,                 1.0336,                 1.2948,                0.67671,                0.73014,                0.77575,                0.61918,                0.72199,                0.95623,                 1.2739,              0.0086584,              0.0086584,              0.0086584
                     51,                0.83459,                 1.0307,                 1.2933,                0.66625,                 0.7144,                0.75651,                0.60403,                0.72526,                   1.01,                 1.2797,              0.0086047,              0.0086047,              0.0086047
                     52,                 0.8344,                 1.0291,                 1.2814,                0.69909,                0.74126,                0.77426,                0.61846,                0.72342,                0.89698,                  1.276,              0.0085502,              0.0085502,              0.0085502
                     53,                0.83707,                 1.0383,                 1.2908,                0.68521,                0.71805,                 0.7735,                0.61743,                0.73441,                0.92781,                 1.2717,              0.0084948,              0.0084948,              0.0084948
                     54,                0.83207,                 1.0199,                 1.2839,                0.66668,                0.70193,                0.74061,                0.60108,                0.71686,                0.96901,                 1.2749,              0.0084385,              0.0084385,              0.0084385
                     55,                0.82093,                 1.0068,                 1.2752,                0.72078,                0.73096,                0.79261,                0.63626,                0.73335,                0.87477,                 1.2681,              0.0083814,              0.0083814,              0.0083814
                     56,                0.82869,                 1.0217,                 1.2788,                0.71553,                  0.737,                0.79002,                0.63912,                0.71013,                0.89955,                 1.2526,              0.0083235,              0.0083235,              0.0083235
                     57,                0.82255,                 1.0098,                 1.2692,                0.68871,                0.75487,                0.79055,                0.64021,                0.70369,                0.88567,                 1.2509,              0.0082648,              0.0082648,              0.0082648
                     58,                0.78714,                0.98476,                 1.2444,                0.69602,                0.71652,                0.77744,                0.63556,                0.68197,                0.89885,                 1.2369,              0.0082052,              0.0082052,              0.0082052
                     59,                0.79019,                0.98141,                 1.2573,                0.70667,                0.72656,                0.78125,                0.62519,                0.71655,                0.89669,                 1.2519,               0.008145,               0.008145,               0.008145
                     60,                0.80658,                0.99957,                 1.2649,                0.70256,                0.72172,                 0.7854,                0.63675,                0.70864,                0.88523,                 1.2656,              0.0080839,              0.0080839,              0.0080839
                     61,                0.80225,                 0.9802,                 1.2563,                0.69838,                0.73033,                0.78497,                0.63824,                0.69578,                0.88807,                 1.2496,              0.0080221,              0.0080221,              0.0080221
                     62,                0.79901,                0.97007,                 1.2568,                0.70791,                0.73188,                0.78155,                0.63746,                0.69246,                0.88642,                 1.2431,              0.0079595,              0.0079595,              0.0079595
                     63,                0.79015,                0.97576,                 1.2509,                0.70043,                0.74249,                0.79152,                0.64683,                0.69021,                0.85882,                 1.2405,              0.0078963,              0.0078963,              0.0078963
                     64,                0.77153,                0.96215,                 1.2314,                0.71944,                0.72387,                0.79054,                0.64683,                 0.6859,                0.87566,                 1.2384,              0.0078323,              0.0078323,              0.0078323
                     65,                0.78123,                0.96704,                 1.2397,                0.71065,                0.74787,                0.80184,                0.65554,                0.67431,                0.84669,                 1.2311,              0.0077677,              0.0077677,              0.0077677
                     66,                0.79998,                0.98044,                 1.2498,                0.70188,                0.73134,                 0.7861,                0.64368,                0.68913,                0.86682,                 1.2323,              0.0077023,              0.0077023,              0.0077023
                     67,                0.78207,                0.97144,                  1.242,                0.70266,                0.73805,                0.78927,                0.64616,                0.68983,                0.85349,                 1.2434,              0.0076364,              0.0076364,              0.0076364
                     68,                0.78159,                0.97693,                 1.2421,                0.71658,                0.73215,                0.79176,                0.64333,                0.68136,                0.87058,                 1.2311,              0.0075698,              0.0075698,              0.0075698
                     69,                0.77747,                0.99706,                 1.2483,                0.69561,                0.74292,                0.78274,                 0.6403,                0.67955,                0.88194,                 1.2377,              0.0075025,              0.0075025,              0.0075025
                     70,                0.77689,                0.97593,                 1.2355,                 0.6894,                0.73681,                0.77191,                0.62968,                 0.6907,                0.89227,                 1.2399,              0.0074347,              0.0074347,              0.0074347
                     71,                0.77779,                0.97934,                 1.2453,                0.69987,                0.73389,                0.78295,                0.63827,                0.67552,                0.87113,                 1.2354,              0.0073663,              0.0073663,              0.0073663
                     72,                0.76288,                0.96214,                 1.2308,                0.71052,                 0.7274,                 0.7882,                0.64914,                0.65748,                0.85276,                 1.2189,              0.0072973,              0.0072973,              0.0072973
                     73,                0.77287,                0.95647,                  1.234,                0.70782,                0.73414,                0.79173,                0.65578,                0.66028,                0.84618,                 1.2169,              0.0072277,              0.0072277,              0.0072277
                     74,                 0.7577,                0.95998,                 1.2226,                0.71949,                0.73216,                0.79149,                0.65073,                0.65437,                0.85652,                 1.2167,              0.0071576,              0.0071576,              0.0071576
                     75,                0.75121,                0.93992,                 1.2196,                0.72062,                0.72814,                0.78915,                0.64979,                 0.6479,                0.85382,                 1.2078,               0.007087,               0.007087,               0.007087
                     76,                0.75402,                 0.9478,                 1.2181,                0.70236,                0.74478,                0.78876,                 0.6537,                0.65479,                0.84308,                  1.217,              0.0070159,              0.0070159,              0.0070159
                     77,                 0.7609,                0.94138,                 1.2229,                0.70121,                0.72377,                0.78209,                0.63858,                0.67149,                0.86751,                 1.2295,              0.0069443,              0.0069443,              0.0069443
                     78,                0.75803,                0.96067,                 1.2289,                0.70736,                0.73968,                0.79078,                0.65155,                0.65859,                0.84831,                 1.2109,              0.0068722,              0.0068722,              0.0068722
                     79,                0.75195,                0.94055,                 1.2156,                0.66107,                 0.7199,                0.74493,                0.61063,                 0.6704,                0.99053,                 1.2237,              0.0067997,              0.0067997,              0.0067997
                     80,                0.74648,                0.96377,                 1.2191,                0.71571,                0.72677,                0.78406,                0.64187,                0.66568,                0.86841,                 1.2181,              0.0067268,              0.0067268,              0.0067268
                     81,                0.75843,                0.95613,                 1.2182,                0.72438,                0.73124,                0.79891,                0.66165,                0.66515,                0.82561,                 1.2158,              0.0066534,              0.0066534,              0.0066534
                     82,                0.74295,                0.93955,                 1.2092,                0.69378,                0.75493,                0.79323,                0.65364,                0.65678,                0.83971,                 1.2156,              0.0065796,              0.0065796,              0.0065796
                     83,                 0.7499,                0.95154,                 1.2252,                0.70405,                0.75408,                0.79782,                0.66125,                0.65223,                0.81586,                 1.2164,              0.0065055,              0.0065055,              0.0065055
                     84,                0.74156,                 0.9382,                 1.2185,                0.72548,                0.73926,                0.79587,                0.65575,                0.65548,                0.83637,                 1.2103,               0.006431,               0.006431,               0.006431
                     85,                0.74954,                0.93722,                  1.219,                0.70367,                0.72903,                0.78037,                0.64185,                0.66283,                0.86414,                 1.2174,              0.0063562,              0.0063562,              0.0063562
                     86,                0.75482,                0.94613,                 1.2148,                0.70136,                0.74489,                0.79587,                0.65908,                0.62818,                0.84008,                 1.1913,               0.006281,               0.006281,               0.006281
                     87,                0.74439,                0.93058,                  1.211,                0.71301,                0.73297,                 0.7992,                0.66068,                0.64927,                0.83174,                 1.2078,              0.0062056,              0.0062056,              0.0062056
                     88,                0.74804,                0.94964,                 1.2142,                0.72974,                0.71736,                0.78813,                0.65097,                0.64791,                0.86208,                 1.2078,              0.0061298,              0.0061298,              0.0061298
                     89,                 0.7336,                0.92376,                 1.2041,                 0.7028,                0.73825,                0.78861,                0.65326,                0.64619,                0.85983,                 1.2053,              0.0060538,              0.0060538,              0.0060538
                     90,                0.73459,                0.93105,                 1.2078,                0.72369,                0.74219,                0.79941,                0.66405,                0.63183,                0.82408,                 1.1959,              0.0059775,              0.0059775,              0.0059775
                     91,                0.73147,                 0.9208,                 1.2101,                0.71169,                0.74263,                0.79655,                0.66314,                0.62733,                 0.8145,                 1.1908,               0.005901,               0.005901,               0.005901
                     92,                0.72774,                0.90937,                 1.2056,                 0.7109,                0.75064,                0.79935,                0.66806,                0.62862,                0.80142,                 1.1968,              0.0058244,              0.0058244,              0.0058244
                     93,                0.72101,                0.92238,                 1.1941,                 0.7125,                0.74421,                  0.798,                0.66227,                0.63888,                0.83409,                  1.201,              0.0057475,              0.0057475,              0.0057475
                     94,                0.72477,                0.91088,                 1.1972,                   0.72,                0.72919,                0.79842,                0.66817,                0.62206,                0.81116,                 1.1888,              0.0056704,              0.0056704,              0.0056704
                     95,                0.72007,                0.89843,                 1.1961,                0.72079,                0.75076,                0.80514,                0.67093,                0.63331,                0.79231,                 1.2014,              0.0055932,              0.0055932,              0.0055932
                     96,                0.72888,                 0.9116,                 1.2044,                0.70089,                0.74934,                0.79653,                0.66304,                0.63323,                0.82581,                 1.1995,              0.0055158,              0.0055158,              0.0055158
                     97,                0.71837,                0.90156,                 1.1879,                0.70558,                0.75813,                0.79894,                0.66079,                0.64622,                0.82991,                 1.2018,              0.0054384,              0.0054384,              0.0054384
                     98,                0.71508,                0.91047,                 1.1914,                 0.6853,                0.74379,                0.79045,                0.66124,                 0.6266,                 0.8791,                 1.1934,              0.0053608,              0.0053608,              0.0053608
                     99,                0.72017,                0.90221,                 1.1928,                0.72612,                0.73122,                0.79199,                0.66346,                0.62496,                0.85372,                 1.1927,              0.0052832,              0.0052832,              0.0052832
                    100,                0.70972,                0.90042,                 1.1822,                0.70766,                0.74624,                0.79434,                0.65833,                0.63301,                0.81973,                 1.1958,              0.0052055,              0.0052055,              0.0052055
