                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0701,                 2.8649,                 3.1212,                  6e-05,                0.00166,                  3e-05,                  1e-05,                 4.4411,                    inf,                 11.472,                 0.0705,              0.0032778,              0.0032778
                      2,                 2.2697,                 2.3607,                 2.4438,                0.18597,                0.42118,                0.17084,                0.06141,                 2.3223,                 3.3034,                 2.8525,                 0.0405,              0.0066109,              0.0066109
                      3,                 1.9465,                 2.1231,                 2.1875,                 0.3882,                0.48107,                0.36254,                0.14474,                 1.9314,                 2.7938,                 2.4058,               0.010499,              0.0099434,              0.0099434
                      4,                 1.7896,                 2.0064,                 2.0332,                0.32988,                0.46069,                0.31405,                0.11828,                 2.0591,                 3.9961,                 2.5122,              0.0099976,              0.0099976,              0.0099976
                      5,                 1.6771,                 1.8942,                 1.9476,                0.48107,                  0.525,                0.47706,                0.22132,                 1.6891,                 2.0721,                 2.0844,              0.0099976,              0.0099976,              0.0099976
                      6,                   1.59,                 1.7936,                 1.8762,                0.53259,                0.56984,                0.54732,                0.28577,                 1.5769,                 1.7252,                 1.9387,              0.0099957,              0.0099957,              0.0099957
                      7,                 1.5027,                 1.6901,                 1.8071,                 0.4858,                0.60457,                0.52838,                0.27467,                 1.5373,                 1.7421,                 1.9464,              0.0099932,              0.0099932,              0.0099932
                      8,                 1.4522,                 1.6417,                 1.7593,                0.48445,                0.61048,                0.53059,                0.29204,                 1.4777,                  1.652,                  1.891,              0.0099902,              0.0099902,              0.0099902
                      9,                 1.4024,                 1.5826,                  1.728,                0.54551,                0.62206,                0.58436,                0.34196,                 1.4898,                 1.5259,                 1.8315,              0.0099867,              0.0099867,              0.0099867
                     10,                 1.3526,                 1.5441,                 1.7033,                0.53179,                0.58891,                0.54894,                0.33663,                 1.3019,                  1.619,                 1.7619,              0.0099826,              0.0099826,              0.0099826
                     11,                 1.2986,                  1.487,                 1.6611,                0.58237,                0.62258,                0.61688,                0.39986,                  1.182,                 1.5028,                 1.6723,               0.009978,               0.009978,               0.009978
                     12,                 1.2947,                 1.4718,                 1.6523,                0.59445,                0.59917,                0.60752,                0.36222,                 1.3301,                 1.5069,                 1.8004,              0.0099729,              0.0099729,              0.0099729
                     13,                 1.2608,                 1.4406,                  1.631,                0.54628,                0.66656,                0.63318,                 0.4135,                 1.1532,                 1.3731,                 1.6587,              0.0099672,              0.0099672,              0.0099672
                     14,                  1.194,                 1.3989,                 1.5803,                0.56135,                0.66393,                0.58866,                0.37258,                 1.1539,                 1.4522,                  1.651,               0.009961,               0.009961,               0.009961
                     15,                  1.145,                  1.341,                 1.5375,                0.63795,                0.66131,                0.68161,                0.46351,                   1.12,                 1.3069,                  1.632,              0.0099542,              0.0099542,              0.0099542
                     16,                 1.1456,                 1.3389,                 1.5419,                0.62292,                0.67335,                0.68164,                0.45494,                  1.135,                 1.2988,                 1.6231,              0.0099469,              0.0099469,              0.0099469
                     17,                 1.1157,                  1.308,                 1.5153,                 0.6371,                0.69437,                0.69102,                0.47147,                  1.146,                 1.2054,                 1.5931,              0.0099391,              0.0099391,              0.0099391
                     18,                 1.1158,                 1.3027,                 1.5227,                0.64641,                 0.6536,                0.69453,                0.47498,                 1.0719,                 1.2366,                 1.5769,              0.0099307,              0.0099307,              0.0099307
                     19,                 1.0701,                 1.2735,                 1.4803,                0.63508,                0.67361,                0.70432,                0.48804,                 1.0854,                  1.212,                 1.5459,              0.0099218,              0.0099218,              0.0099218
                     20,                 1.0587,                 1.2473,                 1.4715,                0.65146,                0.69428,                0.71322,                0.52148,                0.94829,                 1.1247,                 1.4637,              0.0099123,              0.0099123,              0.0099123
                     21,                 1.0621,                 1.2348,                 1.4768,                 0.5931,                0.63798,                0.65345,                0.46066,                0.98016,                 1.2433,                 1.4861,              0.0099023,              0.0099023,              0.0099023
                     22,                 1.0538,                 1.2395,                 1.4703,                0.64574,                0.69238,                0.71473,                0.52496,                0.95955,                 1.1178,                 1.4695,              0.0098918,              0.0098918,              0.0098918
                     23,                 1.0261,                 1.2029,                 1.4476,                0.64454,                0.67844,                0.69841,                0.52013,                0.91234,                 1.1239,                 1.4388,              0.0098808,              0.0098808,              0.0098808
                     24,                 1.0236,                 1.2107,                 1.4519,                0.62088,                 0.6777,                0.68501,                0.48926,                0.96467,                 1.1494,                 1.5013,              0.0098692,              0.0098692,              0.0098692
                     25,                 1.0082,                 1.2135,                 1.4496,                0.63691,                0.64248,                0.67723,                0.49525,                0.91825,                 1.2328,                 1.4556,              0.0098571,              0.0098571,              0.0098571
                     26,                0.99567,                 1.2054,                 1.4197,                 0.6714,                 0.6909,                0.73627,                0.55768,                0.86134,                  1.074,                 1.4053,              0.0098445,              0.0098445,              0.0098445
                     27,                 0.9718,                 1.1621,                  1.404,                0.65928,                0.70815,                0.73184,                0.55898,                0.85419,                 1.0472,                 1.3766,              0.0098313,              0.0098313,              0.0098313
                     28,                 0.9691,                 1.1666,                 1.3987,                0.68472,                0.71528,                0.75613,                0.57214,                0.85708,                 1.0068,                 1.3966,              0.0098177,              0.0098177,              0.0098177
                     29,                 0.9757,                 1.1827,                 1.4103,                0.64482,                0.67783,                0.71758,                 0.5311,                0.88388,                 1.1173,                 1.4238,              0.0098035,              0.0098035,              0.0098035
                     30,                0.95652,                 1.1543,                 1.3916,                0.66407,                0.70285,                0.73403,                0.56614,                0.84678,                 1.0385,                   1.37,              0.0097887,              0.0097887,              0.0097887
                     31,                0.92333,                 1.1317,                 1.3662,                0.65696,                0.69095,                 0.7268,                0.55988,                   0.82,                 1.0536,                 1.3551,              0.0097735,              0.0097735,              0.0097735
                     32,                  0.947,                 1.1365,                  1.378,                0.63324,                0.71849,                0.71206,                0.54067,                0.87265,                 1.0915,                 1.3988,              0.0097577,              0.0097577,              0.0097577
                     33,                0.93533,                 1.1375,                 1.3802,                0.67179,                0.72081,                0.74317,                0.56715,                0.83153,                0.99348,                 1.3465,              0.0097415,              0.0097415,              0.0097415
